ISBN,EDITORIAL,TITULO,AUTOR/COLABORADOR,FORMATO,SEMESTRE,AÑO
978-9945-22-051-3,"EDITORA BUHO, S.R.L. ",UNA VIDA DE LUZ,"HICIANO, EUDALDO ANTONIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-494-58-7,VICEPRESIDENCIA DE LA REPUBLICA DOMINICANA ,PLAN DE ACCION PARA EL ABORDAJE DEL OBJETIVO DE DESARROLLO SOSTENIBLE ODS 1,"HERAZO, MILENA (COORDINADOR EDITORIAL); PEREZ, MERIAN (DISEÑADOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-617-66-5,EDITORIAL SANTUARIO ,VIVIR PARA SOÑAR,JUANA MARIA JEREZ (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-380-3,"MORALES, EDILIA SOCORRO ",UNIVERSIDAD DEL DESIERTO,"MORALES, EDILIA SOCORRO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9237-0-4,"COMUNICACIONES INTEGRADAS, SRL ",CONCEPTOS DE SEGUROS Y FIANZAS,"BALLISTA, FERNANDO BALLISTA DIAZ (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-617-67-2,EDITORIAL SANTUARIO ,A CUALQUIERA LE PUEDE PASAR,"MONTERO, JENNY (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-621-30-3,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (MSPAS) ,GUIA DE LA PROFILAXIS PREEXPOSICION (PREP) AL VIH EN LA REPUBLICA DOMINICANA,"MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (AUTOR); DE LA ROSA, ANDELYS-REPUBLICA DOMINICANA (COORDINADOR EDITORIAL); LEDESMA, JOSE A. (EDITOR LITERARIO); CAMINERO, LUIS G. (EDITOR LITERARIO); CABALLERO VAILLENT, TESSIE (EDITOR LITERARIO)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-621-31-0,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (MSPAS) ,ESTRATEGIA NACIONAL PARA LA IMPLEMENTACION DE LA PROFILAXIS PRE-EXPOSICION (PREP) EN LA REPUBLICA DOMINICANA,"MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (AUTOR); DE LA ROSA, ANDELYS-REPUBLICA DOMINICANA (COORDINADOR EDITORIAL); LEDESMA, JOSE A. (EDITOR LITERARIO); CAMINERO, LUIS G. (EDITOR LITERARIO)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-381-0,"RAMIREZ DILONE, YUDIAN ALTAGRACIA ",7 KEYS TO SUCCESSFUL ENTREPRENEURSHIP,"INFO DE VIDA (AUTOR); WRITERS, EXTREME (TRADUCTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-22-052-0,"EDITORA BUHO, S.R.L. ",LA FIESTA DE SOFIA FLORES,"REYNOSO, ANTONIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-385-8,"SANCHEZ SANCHEZ, DESIREE ALTAGRACIA ",COSMOPOLITAN CREED,"SANCHEZ SANCHEZ, DESIREE ALTAGRACIA (AUTOR); SANCHEZ SANCHEZ, GRISEL (ILUSTRADOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-384-1,"SANTANA, AMADO ",EN BUSCA DE LOS DIOSES ,"QUEZADA, LONNI (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9233-5-3,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DE ACTIVIDADES DEL ALUMNO, PROGRAMA DE EDUCACION VIAL IV",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9233-6-0,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DEL PROFESOR, PROGRAMA DE EDUCACION VIAL IV ",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9233-7-7,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DE ACTIVIDADES DEL ALUMNO, PROGRAMA DE EDUCACION VIAL I",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9233-8-4,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DEL PROFESOR, PROGRAMA DE EDUCACION VIAL I",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9233-9-1,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DE ACTIVIDADES DEL ALUMNO, PROGRAMA DE EDUCACION VIAL II",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9238-0-3,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DEL PROFESOR, PROGRAMA DE EDUCACION VIAL II",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9238-1-0,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DE ACTIVIDADES DEL ALUMNO, PROGRAMA DE EDUCACION VIAL III",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9238-2-7,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DEL PROFESOR, PROGRAMA DE EDUCACION VIAL III",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9238-3-4,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DE ACTIVIDADES DEL ALUMNO, PROGRAMA DE EDUCACION VIAL IV",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9238-4-1,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DEL PROFESOR, PROGRAMA DE EDUCACION VIAL IV",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-383-4,"POLANCO, JULIO ",LOS VIENTOS DE DIOS,"POLANCO, JULIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-382-7,"POLANCO, JULIO ",ATREVETE A SER MEJOR,"POLANCO, JULIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9239-0-2,INSTITUTO ALMQGUER PARA LA FORMACION  HUMANA INTEGRAL ,CUBA EN LA HORA CERO DE LA INDEPENDENCIA NORTEAMERICANA,"PADRON IGLESIAS, WILFREDO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-621-32-7,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (MSPAS) ,GUIA NACIONAL PARA LA ATENCION DE LA COINFECCION TB Y VIH,"MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (AUTOR); MARCELINO, BELKYS (EDITOR LITERARIO); DE LA CRUZ, CLARA (EDITOR LITERARIO); LEDESMA, JOSE A. (EDITOR LITERARIO); DE LA ROSA, ANDELYS-REPUBLICA DOMINICANA (COORDINADOR EDITORIAL)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-618-12-9,AMIGO DEL HOGAR ,CONVERSACIONES CON DIOS ,"GARCIA ROMERO, DINORAH (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-616-56-9,FUNDACION GLOBAL DEMOCRACIA Y DESARROLLO ,ISONORO VERBO,"ROMAN FELIZ, RAFAEL (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-616-57-6,FUNDACION GLOBAL DEMOCRACIA Y DESARROLLO,EL OJO DE ION,"BELLIARD, BASILIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-621-33-4,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (MSPAS),POLITICA NACIONAL DE SALUD SEXUAL Y SALUD REPRODUCTIVA,"MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (AUTOR); MORDAN, JOSE (COORDINADOR EDITORIAL); DE JESUS, JUAN CARLOS (COORDINADOR EDITORIAL); BARINAS, INDIANA (EDITOR LITERARIO); PERALTA, ZOBEYDA (EDITOR LITERARIO)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-386-5,"PEREZ NERY, JOSE MIGUEL ",LA ADMINISTRACION DEL ESTADO SOCIAL Y DEMOCRA TICO DE DERECHO,"MEDINA REYES, ROBERTO ANTONIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-8999-9-3,PROMOCIONES & PUBLICIDAD LA FE,LA REFORME PROTESTANTE EN HAÏTI,"BEAUBRUN, SAINT-PIERRE (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9176-2-8,"PEREZ THIPASHEMA, SRL ",MICHES - HISTORIAS Y TRADICION,"MONI REYES, CEFERINO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-389-6,"CUEVAS PERALTA, PATRICIA ","COVID-19, HABLAN LOS LIDERES","CUEVAS PERALTA, PATRICIA INMACULADA (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-387-2,"GUZMAN ROSARIO, DORIS KATIUSCA ","SANA, CRECE Y FLORECE","GUZMAN, DORIS (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9113-9-8,FUNDACION FRIEDRICH EBERT ,ESTADO DE BIENESTAR Y RESILIENCIA,"MELGEN BELLO, LETY (AUTOR); MUÑIZ HERNANDEZ, ANSELMO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9236-1-2,BIEN-ETRE MEDIA ,ERES UN MILAGRO,"SENCION, NILVIA (AUTOR); SENCION, NILVIA - REPUBLICA DOMINICANA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-99934-815-6-0,MINISTERIO DE LA MUJER ,FORO INTERNACIONAL SOBRE FEMINICIDIOS:  ,VARIOS (COMPILADOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9240-1-5,SUPERINTENDENCIA DE PENSIONES,LA FAMILIA Y LOS AHORROS PREVISIONALES,"PEÑA, EMMA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-99934-815-7-7,MINISTERIO DE LA MUJER ,EL CRIMEN DE LAS HERMANAS MIRABAL Y RUFINO DE LA CRUZ,"BAEZ TORRES, ESEL (AUTOR); RAYMUNDO VARGAS, ABEL ELIEZER (ILUSTRADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9240-0-8,SUPERINTENDENCIA DE PENSIONES ,"LOS AHORROS DE PAPA , UNA PREVISION DE AMOR","CASTILLO, ODALIS (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-99934-815-8-4,MINISTERIO DE LA MUJER ,TRABAJANDO CON HOMBRES PARA LA IGUALDAD Y EQUIDAD DE GENERO,"VALDEZ LOPEZ, SOLANGEL (COORDINADOR EDITORIAL)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9240-2-2,SUPERINTENDENCIA DE PENSIONES ,"PENSY, LA ABUELITA TORTUGA Y LOS AHORROS MA GICOS","CASTILLO, ODALIS (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-617-68-9,EDITORIAL SANTUARIO ,MI NUEVA RELACION CON JESUCRISTO,"CASTILLO, W.H. (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-582-91-8,BANCO CENTRAL DE LA REPUBLICA DOMINICANA ,MANUEL DE JESUS GALVA N,"GUTIERREZ, FRANKLIN (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-388-9,"DULUC ESPIRITUSANTO, ADOLFO RAFAEL ",COSMOVISION SOCIAL,"DULUC, ADOLFO (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9236-2-9,BIEN-ETRE MEDIA , PROMONEY,"LARA, NATIVIDAD (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9241-0-7,ASOCIACION POPULAR DE AHORROS Y PRESTAMOS ,DEJA QUE TE CUENTE,"APAP, ASOCIACION POPULAR DE AHORROS Y PRESTAMOS (AUTOR); MINAYA, MILDRED (COORDINADOR EDITORIAL); MINAYA, MILDRED (EDITOR LITERARIO); ROEDAN, ELIAS (DISEÑADOR); ROEDAN, ELIAS (ILUSTRADOR); PIANTINI HASOURY, RICARDO (FOTOGRAFO); MARTINEZ, VIANCO (NARRADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-467-34-5,DISTRIBUIDORA ESCOLAR S.A (DISESA) ,CALIGRAFIA  4,"BERGES RIB, VIRGINIA (AUTOR); BERGES RIB, VIRGINIA (COORDINADOR EDITORIAL)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9210-1-4,PUBLICACIONES LIBERTAD /ESDRAC MOLINA ROSA ,HACIA UN NUEVO DISEÑO DE POLITICAS PUBLICAS EN R. D.,"DIRECCION GENERAL DE PRESUPUESTO, MINISTERIO DE HACIENDA (COMPILADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-390-2,"DULUC ESPIRITUSANTO, ADOLFO RAFAEL ",RELATOS RECIEN NACIDOS,"DULUC, ADOLFO (AUTOR); GUERRERO RAMIREZ, RAFAEL (PROLOGUISTA)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-391-9,"DULUC ESPIRITUSANTO, ADOLFO RAFAEL ",HAIKUS ISLEÑOS,"DULUC, ADOLFO (AUTOR); DULUC REYNA, MARIELYS (PROLOGUISTA)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-392-6,"RAMIA GUZMAN, JOSE",EL CUADRO,"RAMIA GUZMAN, JOSE (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-494-59-4,VICEPRESIDENCIA DE LA REPUBLICA DOMINICANA ,DIAGNOSTICO DEL PLAN DE ACCION PARA EL ABORDAJE DEL OBJETIVO DE DESARROLLO SOSTENIBLE ODS 1,"VICEPRESIDENCIA DE LA REPUBLICA DOMINICANA (AUTOR); HERAZO, MILENA (EDITOR LITERARIO); PEREZ, MERIAN (DISEÑADOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-454-59-8,EDITORA MANATI ,GEOPOLITICA EN LA ECONOMIA GLOBAL,"GUERRERO, DANIEL (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9177-6-5,EDITORA LUZ DE LUNA ,EFECTO ZARANDEO,"ADAMES, JULIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-393-3,"SIMO, ERIC ",LOS SERES HUMANOS,"BETANCOURT SENCION, ALEXIS (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-410-95-2,LETRA GRAFICA ,JUAN PABLO DUARTE Y LA INDEPENDENCIA DOMINICANA,"INOA, ORLANDO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-394-0,"MENDEZ, RAFAEL ",LAS COOPERATIVAS EN EL MARCO DE LOS OBJETIVOS DE DESARROLLO SOSTENIBLE,"MENDEZ, RAFAEL (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-395-7,"POLANCO VALDEZ, CECILIO ALEXANDER ",TENGA PAZ,"POLANCO VALDEZ, CECILIO ALEXANDER (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-507-00-3,"FEDERACION INTERNACIONAL DE ASOCIACIONES DE AYUDA SÖCIAL, ECOLOGIA Y CULTURA ",PRA CTICAS FUNDAMENTALES,"VILLEGAS QUINTERO, EFRAIN (AUTOR); RADEFELDT FONCK, IRMGARD V. (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-507-01-0,"FEDERACION INTERNACIONAL DE ASOCIACIONES DE AYUDA SÖCIAL, ECOLOGIA Y CULTURA ",TERAPIAS PARA LA CONCIENCIA,"VILLEGAS QUINTERO, EFRAIN (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-616-58-3,FUNDACION GLOBAL DEMOCRACIA Y DESARROLLO ,EL CRISTO DE LOS MILAGROS,"GOMEZ NATERA, INGRID (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9236-3-6,BIEN-ETRE MEDIA ,MARIPOSA DE ACERO,"HENRIQUEZ PILARTE, MIGUELINA (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9242-0-6,EDITORIAL VALDEZ ,EMPRENDEDORES,"MENDEZ, WAGNER (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-8566-6-8,CENTRO DE CAPACITACION EN POLI1TICA Y GESTION FISCAL ,MANUAL DE ADMINISTRACION DEL ESTADO,"GUTIERREZ, RICARDO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-397-1,"SEVERINO ROBERTS, GENSY ",LA PUERTA AL FINAL DE LA DECEPCION.,"SEVERINO ROBERTS, GENSY (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-396-4,"ESPAÑOL SEIJAS, ANGELA MIGUELINA ",ESTEBAN CON TODO EL CORAZON,"ESPAÑOL, ANGELA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9238-5-8,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,PLAN ESTRATEGICO NACIONAL DE SEGURIDAD VIAL DE PEATONES PARA LA REPUBLICA DOMINICANA (PENSV-P) 2020-2023,INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9238-6-5,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,PLAN ESTRATEGICO NACIONAL DE SEGURIDAD VIAL DE PEATONES PARA LA REPUBLICA DOMINICANA (PENSV-P) 202023,INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9193-8-7,OCEANO AZUL EDICIONES ,DESCENTRALIZACION DEL ESTADO DOMINICANO Y FUNCION ELECTORAL A PARTIR DE LA CONSTITUCION DE 2010,"MATEO, VICTOR (AUTOR); CUESTA, MODESTO (COORDINADOR EDITORIAL)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-398-8,"DISLA ROJAS, EDWIN ENRIQUE DE JESUS ",LOS QUE COMULGARON CON EL CORAZON LIMPIO,"DISLA, EDWIN (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9238-7-2,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,PLAN ESTRATEGICO NACIONAL DE MOVILIDAD ELECTRICA REPUBLICA DOMINICANA ,BANCO INTERAMERICANO DE DESARROLLO -BID- (DIRECTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9238-8-9,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,PLAN ESTRATEGICO NACIONAL DE  MOVILIDAD ELECTRICA REPUBLICA DOMINICANA ,BANCO INTERAMERICANO DE DESARROLLO -BID- (DIRECTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9185-4-0,NINON LEON DE SALEME ,SUEÑA PILARIN,"MEJIA, ABIGAIL (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-484-36-6,FUNDACION LITERARIA ANIBAL MONTAÑO ,AFORISMOS PEDAGOGICOS PARA PENSAR EL ROL DE LA EDUCACION,"PERALTA, DAMIAN (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-484-37-3,FUNDACION LITERARIA ANIBAL MONTAÑO ,AFORISMOS PEDAGOGICOS PARA PENSAR EL ROL DEL MAESTRO,"PERALTA, DAMIAN (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-484-38-0,FUNDACION LITERARIA ANIBAL MONTAÑO ,AFORISMOS PEDAGOGICOS PENSAR EL ROL DE LA GENTE,"PERALTA, DAMIAN (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9229-2-9,NUEVAS TIERRAS EDICIONES ,COMO HACERSE MILLONARIO PENSANDO,"MESA UREÑA (TOXIC CROW), CAONABO ENRIQUE (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-617-69-6,EDITORIAL SANTUARIO ,ENTRE LA LUNA Y EL MAR,MOISES VARGAS PEREZ (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9126-2-3,"MINISTERIO DE INDUSTRIA, COMERCIO Y MIPYMES ",MANUAL DE ORGANIZACION Y FUNCIONAMIENTO INTERNO DE LA COMISION TECNICA DE EXPERTOS,CONSEJO DOMINICANO PARA LA CALIDAD (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-22-053-7,"EDITORA BUHO, S.R.L. ",BRUJITA DE SAN JUAN,"RIVAS MENDEZ, OVERST (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-499-55-1,MINISTERIO DE EDUCACION ,CONSULTORIA PARA REALIZAR EL ESTUDIO CONGRUENCIA Y PERTINENCIA DE LA PROPUESTA CURRICULAR DEL NIVEL SECUNDARIO,INSTITUTO DOMINICANA DE EVALUACION E INVESTIGACION EDUCATIVA (IDEICE) (DIRECTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-499-56-8,MINISTERIO DE EDUCACION ,INFORME APLICACION PILOTO STEPP REPUBLICA DOMINICANA 2018,INSTITUTO DOMINICANA DE EVALUACION E INVESTIGACION EDUCATIVA (IDEICE) (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-499-57-5,MINISTERIO DE EDUCACION,MAPA SERVICIOS DE ATENCION INTEGRAL A LA PRIMERA INFANCIA EN REPUBLICA DOMINICANA,"INSTITUTO DOMINICANO DE EVALUACION E INVESTIGACION DE LA CALIDAD EDUCATIVA. IDEICE (DIRECTOR); CRUZ, RITA (AUTOR); MORALES, DANIEL (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-499-58-2,MINISTERIO DE EDUCACION ,TRATAMIENTO DE DATOS PARA MAPA DE SERVICIOS DE ATENCION INTEGRAL A LA PRIMERA INFANCIA EN  REPUBLICA DOMINICANA,"INSTITUTO DOMINICANO DE EVALUACION E INVESTIGACION DE LA CALIDAD EDUCATIVA. IDEICE (DIRECTOR); RODRIGUEZ, NOEL (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-399-5,"ESPAÑOL SEIJAS, ANGELA MIGUELINA ",ESTEBAN DE TODO CORAZON,"ESPAÑOL, ANGELA (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9236-4-3,BIEN-ETRE MEDIA ,MARIPOSA DE ACERO,"HENRIQUEZ PILARTE, MIGUELINA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-8566-7-5,CENTRO DE CAPACITACION EN POLI1TICA Y GESTION FISCAL ,MANUAL DE ADMINISTRACION FINANCIERA DEEL ESTADO,"NAASTRI, EMILIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-8566-8-2,CENTRO DE CAPACITACION EN POLI1TICA Y GESTION FISCAL ,MANUAL DE ADMINISTRACION FINANCIERA DEL ESTADO,"REYES, LUIS - REPUBLICA DOMINICANA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-400-8,"DE LA CRUZ LOPEZ, FRANK DAVID ",200 IDEAS PARA VENDER MAS EN TU NEGOCIO,"DE LA CRUZ LOPEZ, FRANK DAVID (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9236-5-0,BIEN-ETRE MEDIA ,CONOCETE,"ARIZA VOLQUEZ, CATHERINE (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-598-20-9,ARGOS ,DESDE LA TRIBUNA AERONA UTICA,"HERRERA, ALEJANDRO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-405-3,"CASTILLO LACHAPELLE, RAMON AQUILES ",GESTION DE PLAGAS URBANAS,"CASTILLO LACHAPELLE, RAMON (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-406-0,"CASTILLO LACHAPELLE, RAMON AQUILES ",GESTION DE PLAGAS URBANAS,"CASTILLO LACHAPELLE, RAMON (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-598-21-6,ARGOS ,HISTORIA DE LA AVIACION CIVIL EN LA REPUBLICA DOMINICANA 1962-2019,"HERRERA, ALEJANDRO (COMPILADOR); INSTITUTO DOMINICANO DE AVIACION CIVIL (IDAC) (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-401-5,"RAMIREZ DILONE, YUDIAN ALTAGRACIA",7 CLES POUR UN ENTREPRENEURIAT SUCCÈS,"INFO DE VIDA, INFO DE VIDA (AUTOR); WRITERS, EXTREME (TRADUCTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-404-6,"RAMIREZ DILONE, YUDIAN ALTAGRACIA ",7 CHIAVI PER UN'IMPRENDITORIA DI SUCCESSO,"INFO DE VIDA, INFO DE VIDA (AUTOR); WRITERS, EXTREME (TRADUCTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-402-2,"RAMIREZ DILONE, YUDIAN ALTAGRACIA ","COMMENT GAGNER, GERER ET MULTIPLIER L'ARGENT POUR ATTEINDRE LA LIBERTE FINANCIÈRE","INFO DE VIDA, INFO DE VIDA (AUTOR); WRITERS, EXTREME (TRADUCTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-403-9,"RAMIREZ DILONE, YUDIAN ALTAGRACIA ","COME GUADAGNARE, GESTIRE E MOLTIPLICARE SOLDI PER RAGGIUNGERE LA LIBERTÀ FINANZIARIA","INFO DE VIDA, INFO DE VIDA (AUTOR); WRITERS, EXTREME (TRADUCTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-612-30-1,ORGANIZACION DE ESTADOS IBEROAMERICANOS ,LA ALFABETIZACION INICIAL ,"SAEZ VEGA, RUTH J. (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
