ISBN,EDITORIAL,TITULO,AUTOR/COLABORADOR,FORMATO,SEMESTRE,AÑO
978-9945-9218-3-0,EDITORIAL IMPRESOS EL REMANENTE ,EL PODER DE LA SIEMBRA,"RUBIO, DR. SERGIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-580-95-2,UNIVERSIDAD ABIERTA PARA ADULTOS ,HISTORIA DE AMERICA LATINA II,"TEJADA BETANCOURT, LENNY G. (EDITOR LITERARIO); GUERRA VILABOY, SERGIO (AUTOR); PADRON IGLESIAS, WILFREDO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-618-16-7,AMIGO DEL HOGAR ,HAY QUE NACER DE NUEVO,"CUEVAS, HECTOR (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9230-8-7,INSTITUTO TECNOLOGICO DE SANTO DOMINGO ,GUIA PARA EL DESARROLLO DEL ACOMPAÑAMIENTO PEDAGOGICO DE LA ESPECIALIDAD EN GESTION DE CENTROS EDUCATIVOS ,INSTITUTO TECNOLOGICO DE SANTO DOMINGO (INTEC) (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-612-35-6,ORGANIZACION DE ESTADOS IBEROAMERICANOS ,LA TRANSICION EDUCATIVA DE PRE-PRIMARIO A PRIMERO,"HEINSEN, MARGARITA (AUTOR); PADILLA, EMELINDA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9206-3-5,EDICIONES ENRIQUILLO ,AL FIN DEL MUNDO,"WEISSER, JAVIER (AUTOR); SALAZAR, ROSANNA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-549-4,"LOPEZ BELANDO, ADOLFO JOSE ",GUIA ECOTURISTICA DEL SISTEMA NACIONAL DE AREAS PROTEGIDAS DE LA REPUBLICA DOMINICANA,"LOPEZ BELANDO, ADOLFO JOSE (AUTOR); MATEO, JOSE MANUEL (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-457-61-2,"SOCIEDAD DOMINICANA DE BIBLIOFILOS, INC. ",DE DESSALINES A DUVALIER,"NICHOLLS, DAVID (AUTOR); CEDANO, RAMON (TRADUCTOR); HOLGUIN CASTILLO, AUSTRIA G. (TRADUCTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9251-2-8,FUNDACION FRIEDRICH EBERT ,EL SECTOR PRIVADO EN CUBA:,"FERNANDEZ ESTRADA, OSCAR (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-550-0,"PEREZ LAGOMBRA, JUNIOR RAFAEL ANTONIO ",MEMORIAS DE SOSUA,"PEREZ LAGOMBRA, JUNIOR RAFAEL ANTONIO (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-551-7,"PEREZ LAGOMBRA, JUNIOR RAFAEL ANTONIO ",MEMORIAS DE SOSUA,"PEREZ LAGOMBRA, JUNIOR RAFAEL ANTONIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-22-066-7,"EDITORA BUHO, S.R.L. ",EL HUMOR TIENE BANDERA,"DIAZ, JOSE (EDITOR LITERARIO)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-552-4,"MONTAS DOMINGUEZ, JUAN TEMISTOCLES ",ESCRITO ESTA ,"MONTAS , JUAN TEMISTOCLES (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-507-02-7,"FEDERACION INTERNACIONAL DE ASOCIACIONES DE AYUDA SOCIAL, ECOLOGIA Y CULTURA ",SOY UN SER INFINITO CON INFINITAS POSIBILIDADES,"RADEFELDT FONCK, IRMGARD V. (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9259-0-6,BIEN-ETRE MEDIA ,MIL CAMINOS HACIA LA CONSCIENCIA,"DE LA OZ, AURORA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-507-03-4,"FEDERACION INTERNACIONAL DE ASOCIACIONES DE AYUDA SOCIAL, ECOLOGIA Y CULTURA ",LA INICIACION PRA CTICA,"VILLEGAS QUINTERO, EFRAIN (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9259-1-3,BIEN-ETRE MEDIA ,MIL CAMINOS HACIA LA CONSCIENCIA ,"DE LA OZ, AURORA (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-99934-75-35-4,"CEDIBIL CENTRO DOMINICANO DE INVESTIGACIONES BIBLIOGRAFICAS, INC. ",EL PLACER DE LO BREVE,"COLLADO SEGURA, MIGUEL (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-484-39-7,FUNDACION LITERARIA ANIBAL MONTAÑO ,ORIGEN Y EVOLUCION DE LA CA MARA DE COMERCIO Y PRODUCCION DE SAN CRISTOBAL,"SUERO ESPINAL, JUAN HECTOR (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9169-6-6,ULTIMOS MONSTRUOS EDITORES ,¿HACIA DONDE IRE?,"SURIEL, MANUEL EMILIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-468-86-1,ALFA & OMEGA ,DIENTELECHE 1,"TOBOGAN, REVISTA (COMPILADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-468-87-8,ALFA & OMEGA ,DIENTELECHE 2,"TOBOGAN, REVISTA (COMPILADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-468-88-5,ALFA & OMEGA ,DIENTELECHE 3,"TOBOGAN, REVISTA (COMPILADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-617-82-5,EDITORIAL SANTUARIO ,AMANTINA,"ESCOTO DE BAEZ, IRIS (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-617-83-2,EDITORIAL SANTUARIO ,LA CAIDA,NORIS VICIOSO MONTERO (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9260-0-2,EDICIONES TORAL ,CUBBA EN EL BOSQUE,FREDDY GONZALEZ MILANES (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-553-1,"PEREZ, LUIS REYNALDO ",UN PLANETA EN EL UNIVERSO,"MEJIA, DAVY (AUTOR); PEREZ, LUIS REYNALDO (COORDINADOR EDITORIAL)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9034-2-3,MINISTERIO DE ADMINISTRACION PUBLICA MAP ,DIMENSIONES DE LA ADMINISTRACION PUBLICA DEL SIGLO XXI,"MONTERO, GREGORIO (AUTOR); MONTERO, GREGORIO (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-587-21-0,EDICIONES FUNDACION JUAN BOSCH ,DEL NEGOCIO SEGURO A LA SEGURIDAD SOCIAL (2DA EDICION ACTUALIZADA Y AUMENTADA),"BOSCH CARCURO, MATIAS (AUTOR); FERNANDEZ GIL, AIRON (AUTOR); RIVERA MEJIAS, JANLEY (COORDINADOR EDITORIAL)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-617-84-9,EDITORIAL SANTUARIO ,SUR PROHIBIDO,"VELASQUEZ, ELIDENIA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9261-0-1,ACADEMIA DOMINICANA DE GENEALOGIA Y HERALDICA. INC. ,LA HISTORIA DE LA FAMILIA VICTORIA CONTADA POR SUS DESCENDIENTES,"PRIETO NOUEL, LUIS JOSE AMERICO (AUTOR); VICTORIA COROMINAS, LUIS ORLANDO (AUTOR); PAIWONSKY, LOUIS (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-555-5,"HELVE, GARDY ",LA PIEL DEL SILENCIO,"CIPRIAN, ANGEL (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
